timestamp;lat;lon;alt
816500136;469471003;87104352;1567768
816989299;469471541;87105427;1567747
817498169;469471979;87106593;1567797
817989168;469472311;87107828;1567814
818500140;469472537;87109104;1567785
818987243;469472700;87110437;1567827
819496739;469472871;87111840;1568636
819992132;469473130;87113281;1569851
820501422;469473571;87114683;1571702
820992135;469474183;87115987;1573912
821499160;469474948;87117129;1576359
821988173;469475838;87118052;1578913
822500131;469476821;87118718;1581393
822992247;469477852;87119080;1583708
823494135;469478881;87119107;1585842
823992127;469479858;87118829;1587712
824500395;469480734;87118280;1589452
824992248;469481498;87117549;1590920
825500132;469482171;87116724;1592127
825992132;469482791;87115841;1593031
826500133;469483392;87114929;1593637
826990147;469484009;87114016;1594034
827500551;469484668;87113134;1594568
827988129;469485375;87112311;1595450
828500167;469486122;87111561;1596734
828992149;469486898;87110872;1598229
829499137;469487699;87110237;1599821
829991253;469488522;87109630;1601201
830501276;469489352;87109026;1602702
830989172;469490171;87108412;1604891
831497657;469490978;87107784;1607499
831992849;469491766;87107146;1609933
832496318;469492529;87106487;1611550
832992353;469493242;87105758;1612790
833499276;469493882;87104924;1614009
833993003;469494431;87103984;1615299
834500906;469494888;87102955;1616666
834992725;469495254;87101857;1617991
835498136;469495527;87100701;1619199
835992519;469495713;87099515;1620338
836501027;469495829;87098345;1620868
836987145;469495898;87097194;1620118
837498131;469495886;87096046;1618828
837987636;469495765;87094900;1617530
838500129;469495526;87093776;1616500
838992058;469495175;87092695;1615940
839500134;469494725;87091671;1615787
839992136;469494192;87090722;1615903
840499208;469493591;87089862;1616100
840989678;469492936;87089100;1616303
841496947;469492242;87088442;1616418
841989238;469491513;87087903;1616438
842498612;469490747;87087500;1616547
842993666;469489957;87087221;1616482
843499138;469489141;87087075;1616464
843993367;469488315;87087077;1616486
844500330;469487498;87087231;1616680
844993211;469486709;87087521;1616942
845500250;469485950;87087926;1617237
845985504;469485221;87088422;1617202
846500996;469484521;87089034;1617023
846990763;469483860;87089774;1616649
847502173;469483263;87090673;1616393
847990121;469482753;87091722;1616295
848501256;469482339;87092886;1616265
848993128;469482032;87094140;1616348
849500344;469481833;87095457;1616745
849994184;469481738;87096799;1617211
850494672;469481747;87098142;1617749
850993132;469481844;87099464;1617807
851501270;469482033;87100753;1617425
851990529;469482333;87101998;1616825
852502838;469482768;87103183;1616276
852993140;469483338;87104272;1615923
853502082;469484030;87105217;1615886
853993320;469484812;87105997;1616073
854499274;469485642;87106625;1616323
854988651;469486502;87107126;1616428
855498787;469487389;87107497;1616408
855993106;469488295;87107715;1616288
856500197;469489206;87107746;1616247
856993130;469490100;87107603;1616275
857501505;469490958;87107301;1616307
857989148;469491763;87106839;1616475
858498363;469492509;87106250;1616499
858992689;469493195;87105554;1616407
859496215;469493820;87104759;1616266
859991757;469494356;87103842;1616250
860500139;469494798;87102827;1616044
860993130;469495163;87101759;1615808
861500374;469495459;87100643;1615693
861992719;469495680;87099486;1615695
862500238;469495819;87098300;1615715
862991737;469495863;87097099;1615762
863499130;469495805;87095899;1615852
863988434;469495646;87094722;1615973
864499131;469495395;87093586;1616055
864991332;469495059;87092503;1616035
865495144;469494635;87091486;1615984
865991831;469494136;87090548;1615895
866499133;469493572;87089694;1615740
866990388;469492940;87088938;1615689
867499137;469492242;87088297;1615598
867993021;469491485;87087785;1615480
868496939;469490684;87087408;1615468
868990149;469489853;87087167;1615615
869500392;469489013;87087065;1615953
869992002;469488180;87087105;1616274
870499132;469487364;87087293;1616804
870990435;469486574;87087621;1617374
871497068;469485818;87088065;1617863
871991576;469485096;87088613;1618253
872500139;469484410;87089271;1618545
872989097;469483762;87090026;1618493
873500419;469483170;87090909;1618459
873991271;469482657;87091925;1618558
874499602;469482245;87093054;1618627
874993132;469481926;87094249;1618462
875500133;469481701;87095484;1617974
875992136;469481577;87096749;1617175
876501263;469481565;87098038;1616298
876995238;469481690;87099351;1615657
877496130;469481958;87100652;1615334
877996520;469482354;87101898;1615236
878502280;469482855;87103073;1615291
878994198;469483452;87104167;1615487
879501249;469484142;87105152;1615915
879994565;469484912;87106011;1616474
880502014;469485740;87106722;1616894
880994252;469486603;87107276;1616969
881502068;469487488;87107662;1616778
881988233;469488385;87107860;1616447
882503048;469489280;87107860;1616072
882994268;469490156;87107659;1615881
883501639;469490992;87107274;1615956
883994164;469491777;87106758;1616047
884499142;469492513;87106142;1616077
884994128;469493201;87105440;1615895
885501265;469493827;87104637;1615678
885992974;469494374;87103730;1615545
886497156;469494837;87102741;1615472
886993723;469495217;87101686;1615420
887500517;469495512;87100580;1615345
887992744;469495717;87099430;1615251
888500134;469495825;87098252;1615255
888992346;469495838;87097067;1615326
889496802;469495763;87095892;1615374
889991618;469495605;87094740;1615384
890497144;469495367;87093622;1615335
890987311;469495051;87092547;1615222
891499530;469494654;87091532;1615104
891992341;469494171;87090597;1615030
892497175;469493603;87089762;1615072
892989141;469492961;87089032;1615177
893499133;469492260;87088408;1615384
893996128;469491516;87087894;1615523
894498154;469490736;87087499;1615634
894993129;469489932;87087227;1615826
895493355;469489107;87087106;1616241
895993130;469488279;87087132;1616685
896502475;469487465;87087283;1617087
896990495;469486674;87087546;1617247
897497678;469485911;87087916;1617138
897994266;469485184;87088402;1616757
898501337;469484493;87089023;1616332
898993155;469483845;87089786;1615955
899501254;469483260;87090691;1615684
899989416;469482757;87091727;1615580
900499246;469482348;87092867;1615542
900994449;469482037;87094084;1615607
901498608;469481829;87095358;1615766
901993365;469481724;87096663;1615859
902504783;469481721;87097977;1615824
902994366;469481819;87099289;1615749
903502141;469482025;87100581;1615661
903992330;469482347;87101831;1615650
904499136;469482783;87103006;1615748
904994133;469483324;87104082;1615922
905502328;469483953;87105046;1616070
905992202;469484654;87105902;1616200
906503501;469485382;87106702;1615916
906993146;469486096;87107505;1614533
907500447;469486744;87108433;1612478
907992328;469487256;87109556;1610517
908502133;469487579;87110834;1608931
908987800;469487715;87112188;1607872
909501242;469487704;87113544;1607329
909994129;469487586;87114858;1606955
910502738;469487390;87116118;1606425
910995133;469487123;87117322;1605633
911502132;469486784;87118468;1604844
911994915;469486415;87119585;1603970
912500211;469486053;87120698;1602932
912996074;469485721;87121831;1601785
913499134;469485425;87122982;1600528
913994535;469485155;87124146;1599218
914500139;469484898;87125319;1597980
914991836;469484643;87126497;1596939
915503129;469484383;87127675;1596091
915995223;469484114;87128845;1595420
916503131;469483835;87130001;1594747
916996893;469483545;87131144;1594089
917503549;469483250;87132276;1593341
917987142;469482951;87133402;1592551
918503130;469482649;87134528;1591735
918995161;469482347;87135655;1590886
