timestamp;timestamp_sample;time_utc_usec;device_id;lat;lon;alt;alt_ellipsoid;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;vel_ned_valid;satellites_used;selected_rtcm_instance
676492790;0;1,68216E+15;11141125;469475369;87125652;1546629;1593947;0.14500001;0.7087277;0.298;0.568;0.57;0.96999997;62;3;0.015000001;0.014;-0.003;-3.1750002;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
676984154;0;1,68216E+15;11141125;469475369;87125653;1548113;1595431;0.141;0.70902824;0.29900002;0.569;0.57;0.96999997;62;4;0.020000001;0.001;-0.020000001;-3.1130002;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
677494152;0;1,68216E+15;11141125;469475369;87125651;1549604;1596922;0.14;0.7093269;0.3;0.57000005;0.57;0.96999997;62;4;0.043;-0.012;-0.041;-3.1000001;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;28;0
677986140;0;1,68216E+15;11141125;469475370;87125648;1551079;1598397;0.13700001;0.7096264;0.3;0.57000005;0.56;0.91999996;62;3;0.07300001;0.017;-0.071;-3.147;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
678496132;0;1,68216E+15;11141125;469475371;87125646;1552558;1599876;0.141;0.7099265;0.3;0.57000005;0.56;0.91999996;62;3;0.008;-0.007;-0.003;-3.071;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
678988227;0;1,68216E+15;11141125;469475372;87125646;1554027;1601345;0.135;0.71022475;0.3;0.57000005;0.56;0.91999996;62;3;0.0050000004;-0.0050000004;-0.002;-3.111;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
679490488;0;1,68216E+15;11141125;469475373;87125644;1555480;1602798;0.135;0.7105214;0.30100003;0.57000005;0.56;0.91999996;62;3;0.032;0.002;-0.032;-3.0820003;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
679984613;0;1,68216E+15;11141125;469475373;87125642;1556943;1604260;0.135;0.7108173;0.30100003;0.57000005;0.56;0.91999996;62;3;0.058000002;-0.008;-0.057000004;-3.075;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
680496856;0;1,68216E+15;11141125;469475373;87125639;1558406;1605723;0.13700001;0.711114;0.30100003;0.57100004;0.56;0.91999996;62;3;0.048;-0.024;-0.042000003;-3.0870001;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
680984316;0;1,68216E+15;11141125;469475374;87125637;1559867;1607185;0.13700001;0.711408;0.30200002;0.57100004;0.56;0.91999996;62;3;0.081;0.042000003;-0.069000006;-3.068;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
