timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
664310079,664308769,46.947536407056496,8.712563426332574,1516.5476,1563.6113,0.0,0.72016156,2.319752,nan,2,58,0,0
664499995,664498644,46.947536667184764,8.712563443387042,1517.0999,1564.1613,0.0,0.72163075,2.3200853,nan,2,77,0,0
664700229,664698512,46.94753699303554,8.712563543566892,1517.6826,1564.7367,0.0,0.7199794,2.319717,nan,2,97,0,0
664900150,664898379,46.947537343874295,8.712563735132585,1518.2664,1565.3159,0.0,0.719977,2.319717,nan,2,117,0,0
665099934,665098247,46.947537680853294,8.712563979376457,1518.8475,1565.8927,0.0,0.71997577,2.319717,nan,2,137,0,0
665299898,665298116,46.947537991729405,8.71256421760251,1519.4307,1566.4713,0.0,0.71997416,2.319717,nan,2,156,0,0
665499447,665497983,46.947538232967794,8.712564417636036,1520.0149,1567.0532,0.0,0.7215952,2.3200877,nan,2,176,0,0
665709659,665707844,46.94753840599648,8.712564570745492,1520.6296,1567.6609,0.0,0.72010744,2.319744,nan,2,197,0,0
665909170,665907712,46.947538518637266,8.712564613536168,1521.2064,1568.2335,0.0,0.7201092,2.3197446,nan,2,217,0,0
666109409,666107579,46.947538587635975,8.71256456594609,1521.7532,1568.7762,0.0,0.7201,2.319743,nan,2,237,0,0
666299297,666297454,46.9475386546792,8.712564448880643,1522.2128,1569.2325,0.0,0.7199475,2.3197124,nan,2,255,0,0
666498661,666497322,46.947538739325864,8.712564290952855,1522.5936,1569.612,0.0,0.7215361,2.3200831,nan,2,18,0,0
666698602,666697190,46.94753885668365,8.7125640871248,1522.8501,1569.8665,0.0,0.72148585,2.320079,nan,2,38,0,0
666898824,666897057,46.947538982283554,8.712563892687843,1522.9867,1570.0021,0.0,0.71988124,2.3197083,nan,2,58,0,0
667108711,667106919,46.947539170522674,8.712563728164175,1523.0342,1570.0498,0.0,0.719992,2.319744,nan,2,79,0,0
667308212,667306787,46.947539420603384,8.712563628907082,1523.0337,1570.0499,0.0,0.7199664,2.3197448,nan,2,99,0,0
667508540,667506655,46.94753968644367,8.71256364287096,1523.0255,1570.0425,0.0,0.71993667,2.3197436,nan,2,119,0,0
667707912,667706523,46.94753991651957,8.712563757115605,1523.0347,1570.0524,0.0,0.71991616,2.3197427,nan,2,139,0,0
667907779,667906390,46.94754005323068,8.712563993338007,1523.0902,1570.1083,0.0,0.7199148,2.3197436,nan,2,159,0,0
668108125,668106258,46.94754006716783,8.712564321587143,1523.2195,1570.2374,0.0,0.7199129,2.3197427,nan,2,179,0,0
668297885,668296133,46.94753996738357,8.712564671866255,1523.4357,1570.4531,0.0,0.71978045,2.3197067,nan,2,198,0,0
668507805,668505994,46.947539700805926,8.712565094265509,1523.8088,1570.8246,0.0,0.71995085,2.3197427,nan,2,219,0,0
668707165,668705863,46.94753932782268,8.712565477925756,1524.2814,1571.2948,0.0,0.71998084,2.3197417,nan,2,239,0,0
668907408,668905731,46.947538869099155,8.712565792531588,1524.821,1571.8315,0.0,0.72001594,2.3197408,nan,2,3,0,0
669107347,669105599,46.9475384201829,8.71256603636801,1525.393,1572.4001,0.0,0.7200398,2.319738,nan,2,23,0,0
669307248,669305468,46.947538036345875,8.712566206721275,1525.9723,1572.9763,0.0,0.72005975,2.3197353,nan,2,43,0,0
669507255,669505335,46.94753774950586,8.712566302014652,1526.5415,1573.5422,0.0,0.7200735,2.3197331,nan,2,63,0,0
669707373,669705203,46.94753757371987,8.712566283735153,1527.1083,1574.1063,0.0,0.7200801,2.319731,nan,2,83,0,0
669906462,669905074,46.94753750877351,8.71256616617988,1527.6782,1574.6737,0.0,0.72009206,2.319731,nan,2,103,0,0
670106709,670104939,46.947537549949665,8.7125659569057,1528.2526,1575.2455,0.0,0.7200986,2.319731,nan,2,123,0,0
670306218,670304807,46.94753765566039,8.712565690706873,1528.8287,1575.8195,0.0,0.72011125,2.319733,nan,2,143,0,0
670506530,670504675,46.94753779915533,8.712565388934856,1529.4071,1576.3949,0.0,0.72009903,2.319731,nan,2,163,0,0
670706297,670704544,46.94753796053247,8.71256510179913,1529.9863,1576.9714,0.0,0.72008497,2.319729,nan,2,183,0,0
670906359,670904413,46.94753812814054,8.71256486487914,1530.5677,1577.5503,0.0,0.72006917,2.3197274,nan,2,203,0,0
671106082,671104280,46.94753830756293,8.7125647222597,1531.148,1578.1277,0.0,0.72005254,2.319726,nan,2,223,0,0
671305907,671304149,46.9475384950002,8.712564681070527,1531.7286,1578.7054,0.0,0.72003525,2.3197246,nan,2,243,0,0
671505844,671504017,46.947538654572135,8.712564718000342,1532.3105,1579.2845,0.0,0.72002727,2.319725,nan,2,7,0,0
671705267,671703885,46.94753876764605,8.712564785754411,1532.8923,1579.8639,0.0,0.720019,2.3197258,nan,2,27,0,0
671905550,671903753,46.94753885238718,8.71256487879855,1533.4746,1580.4434,0.0,0.7200006,2.3197246,nan,2,47,0,0
672105321,672103621,46.94753889163805,8.712564988426372,1534.063,1581.0288,0.0,0.71998286,2.3197234,nan,2,67,0,0
672304792,672303490,46.94753887231929,8.7125650654335,1534.6566,1581.6198,0.0,0.719977,2.319724,nan,2,87,0,0
672505172,672503358,46.94753881247181,8.712565115259844,1535.2551,1582.2151,0.0,0.71996176,2.3197231,nan,2,107,0,0
672705002,672703227,46.94753875653952,8.712565138282258,1535.8534,1582.8105,0.0,0.7199483,2.319722,nan,2,127,0,0
672904805,672903095,46.94753870059437,8.71256513072546,1536.4504,1583.4049,0.0,0.71993583,2.319721,nan,2,147,0,0
673104874,673102963,46.947538655820225,8.712565119550401,1537.0481,1584.0001,0.0,0.7199244,2.31972,nan,2,167,0,0
673304680,673302832,46.94753863079372,8.712565131699197,1537.646,1584.5956,0.0,0.7199143,2.319719,nan,2,187,0,0
673504714,673502700,46.94753863055787,8.712565154394904,1538.2433,1585.1903,0.0,0.7199051,2.3197184,nan,2,207,0,0
673704429,673702568,46.94753865728257,8.71256518003669,1538.8398,1585.7847,0.0,0.7198969,2.319718,nan,2,227,0,0
673904214,673902436,46.94753870845057,8.71256520055888,1539.4381,1586.3807,0.0,0.71989006,2.3197172,nan,2,247,0,0
674104091,674102305,46.94753875957141,8.712565231615445,1540.0347,1586.9751,0.0,0.71988404,2.3197167,nan,2,11,0,0
674304021,674302173,46.947538795593154,8.712565305192715,1540.629,1587.5674,0.0,0.71987873,2.3197162,nan,2,31,0,0
674503411,674502042,46.94753880335075,8.712565424959202,1541.2234,1588.1608,0.0,0.721455,2.3200862,nan,2,51,0,0
674703778,674701910,46.94753879188391,8.712565572402788,1541.8131,1588.747,0.0,0.71986115,2.3197136,nan,2,71,0,0
674903746,674901779,46.94753877144166,8.712565717628951,1542.4003,1589.3318,0.0,0.71985835,2.3197134,nan,2,91,0,0
675103552,675101647,46.94753876666456,8.712565859978088,1542.9882,1589.9176,0.0,0.71985614,2.319713,nan,2,111,0,0
